"Vremenska oznaka","U kojoj ste dobnoj skupini?","Spol","Koristite li Internet/Mobilno bankarstvo?","U kojoj banci koristite Internet/Mobilno Bankarstvo (mogućnost višestrukog odabira)?","Koje opcije Internet/Mobilnog bankarstva najčešće koristite (mogućnost višestrukog odabira)?","Da li ste zadovoljni Internet/Mobilnim bankarstvom koje koristite?","Koje usluge smatrate da bi Internet/Mobilno m bankarstvu koje koristite trebalo dodati?","Koje ostale FinTech servise koristite, molim navedite? (npr. Revolut)","Koje transakcije najčešće provodite putem FinTech aplikacije? (npr. kupovina, mjenjačnica, transfer novca)","Koje su po Vama prednosti, a što nedostaci FinTech aplikacija?","Osjećate li se sigurno pri korištenju Internet/Mobilnog bankarstva/FinTech aplikacija"
"2020/11/02 5:46:36 PM CET","26-30","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","Ne koristim","Ne koristim","Ne koristim","Da, u potpunosti sigurno"
"2020/11/03 11:17:51 AM CET","preko 60","Ž","Da","Addiko Bank","Plaćanje režijskih računa","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, u potpunosti sigurno"
"2020/11/03 10:32:04 PM CET","41-45","M","Da","Erste Bank;HPB","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Ne koristim Internet/Mobilno bankarstvo","Da u potpunosti","Otvaranje novog računa (npr. žiro računa)","Ne koristim ","Ništa","Ne koristim ","Da, u potpunosti sigurno"
"2020/11/04 3:28:55 PM CET","51-55","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","ne mislim da mi  nesto nedostaje","sto podrazumijvas pod FinTech servisima? Revolut osobno ne koristim, moji u obitelji da ","- ","- ","Da, u potpunosti sigurno"
"2020/11/06 7:46:54 AM CET","18-25","M","Da","ZABA;Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","Revolut","Kupovina, mjenjacnica i transfer novca","Prednost je vise valuta na jednom racunu, mana je prihvacenost od drugih ljudi - npr spotify ne dozvoljava koristenje revoluta kao racuna za transakciju clanarine","Da, u potpunosti sigurno"
"2020/11/06 12:23:47 PM CET","41-45","M","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Ulaganje u investicijske fondove;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Ukidanje opunomoćenika;Virtualnu karticu","-","-","-","Da, u potpunosti sigurno"
"2020/11/07 9:08:59 AM CET","46-50","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja)","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika;Virtualnu karticu","Keks pay","Kupovina, transfer novca","Kako koje. Vise razlicitih aplikacija, bilo bi idealno da imamo jednu koja podrzava sve funkcionalnosti.","Da, u potpunosti sigurno"
"2020/11/07 10:55:27 AM CET","31-35","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","Ne koristim","Ne koristim","Ne koristim","Da, u potpunosti sigurno"
"2020/11/07 2:30:29 PM CET","31-35","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da, ali treba ga dodatno unaprijediti","Internet/Mobilno bankarstvo koje koristim nudi sve gore navedene usluge","? ","? ","? ","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/08 9:30:58 PM CET","41-45","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Ukidanje opunomoćenika","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/09 7:37:15 AM CET","41-45","M","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Virtualnu karticu","Revolut","Kupovina, transfer","Jednostavnost, brzina, bez ugovorne obveze","Da, u potpunosti sigurno"
"2020/11/09 8:56:15 AM CET","41-45","M","Da","Erste Bank;Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","","","","Da, u potpunosti sigurno"
"2020/11/09 9:16:50 PM CET","41-45","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/10 7:20:21 PM CET","36-40","M","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/11 7:05:54 AM CET","36-40","M","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/11 8:50:31 PM CET","31-35","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja);Zahtjev za nenamjenski kredit","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja","Revolut","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
