"Vremenska oznaka","U kojoj ste dobnoj skupini?","Spol","Koristite li Internet/Mobilno bankarstvo?","U kojoj banci koristite Internet/Mobilno Bankarstvo (mogućnost višestrukog odabira)?","Koje opcije Internet/Mobilnog bankarstva najčešće koristite (mogućnost višestrukog odabira)?","Da li ste zadovoljni Internet/Mobilnim bankarstvom koje koristite?","Koje usluge smatrate da bi Internet/Mobilno m bankarstvu koje koristite trebalo dodati?","Koje ostale FinTech servise koristite, molim navedite? (npr. Revolut)","Koje transakcije najčešće provodite putem FinTech aplikacije? (npr. kupovina, mjenjačnica, transfer novca)","Koje su po Vama prednosti, a što nedostaci FinTech aplikacija?","Osjećate li se sigurno pri korištenju Internet/Mobilnog bankarstva/FinTech aplikacija"
"2020/10/31 11:20:02 PM CET","36-40","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Ulaganje u investicijske fondove;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika;Virtualnu karticu","","","","Da, u potpunosti sigurno"
"2020/10/31 11:26:19 PM CET","46-50","M","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Ugovaranje/raskid trajnog naloga","","","","Da, u potpunosti sigurno"
"2020/10/31 11:41:32 PM CET","41-45","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Ugovaranje/raskid trajnog naloga","","Kupovina, placanje racuna","Brzina i fleksibilnost/upitna sigurnost","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 12:07:53 AM CET","18-25","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Virtualnu karticu","","","","Da, u potpunosti sigurno"
"2020/11/01 12:54:22 AM CET","46-50","M","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","Ugovaranje/raskid trajnog naloga","Revolut","Kupovina","Primanje plaće","Da, u potpunosti sigurno"
"2020/11/01 1:06:41 AM CET","26-30","M","Da","PBZ;Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da u potpunosti","nikaj","pa dosta toga","transfer","Nez","Da, u potpunosti sigurno"
"2020/11/01 7:35:38 AM CET","41-45","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","Revolut","Kupovina","Prednost je dostupnost informacija i sredstava u svakom trenu. ","Da, u potpunosti sigurno"
"2020/11/01 9:15:12 AM CET","41-45","Ž","Da","ZABA","Plaćanje režijskih računa","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","Niti jedan","Niti jedan","Ne znam ne koristim","Da, u potpunosti sigurno"
"2020/11/01 9:19:41 AM CET","51-55","M","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, u potpunosti sigurno"
"2020/11/01 9:57:31 AM CET","31-35","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
