Date, Close/Last, Volume, Open, High, Low
08/14/2020, 1.147, N/A, 1.147, 1.147, 1.147
08/13/2020, 1.162, N/A, 1.162, 1.162, 1.162
08/12/2020, 1.1205, N/A, 1.1205, 1.1205, 1.1205
08/11/2020, 1.1135, N/A, 1.1135, 1.1135, 1.1135
08/10/2020, 1.126, N/A, 1.126, 1.126, 1.126
08/07/2020, 1.1545, N/A, 1.1545, 1.1545, 1.1545
08/06/2020, 1.17, N/A, 1.17, 1.17, 1.17
08/05/2020, 1.2155, N/A, 1.2155, 1.2155, 1.2155
08/04/2020, 1.2105, N/A, 1.2105, 1.2105, 1.2105
08/03/2020, 1.179, N/A, 1.179, 1.179, 1.179
07/31/2020, 1.1895, N/A, 1.1895, 1.1895, 1.1895
07/30/2020, 1.1535, N/A, 1.1535, 1.1535, 1.1535
07/29/2020, 1.116, N/A, 1.116, 1.116, 1.116
07/28/2020, 1.0965, N/A, 1.0965, 1.0965, 1.0965
07/27/2020, 1.104, N/A, 1.104, 1.104, 1.104
07/24/2020, 1.084, N/A, 1.084, 1.084, 1.084
07/23/2020, 1.075, N/A, 1.075, 1.075, 1.075
07/22/2020, 1.0835, N/A, 1.0835, 1.0835, 1.0835
07/21/2020, 1.0175, N/A, 1.0175, 1.0175, 1.0175
07/20/2020, 0.9975, N/A, 0.9975, 0.9975, 0.9975
07/17/2020, 1.023, N/A, 1.023, 1.023, 1.023
07/16/2020, 0.9835, N/A, 0.9835, 0.9835, 0.9835
07/15/2020, 0.972, N/A, 0.972, 0.972, 0.972
07/14/2020, 0.9795, N/A, 0.9795, 0.9795, 0.9795
07/13/2020, 0.9865, N/A, 0.9865, 0.9865, 0.9865
07/10/2020, 0.974, N/A, 0.974, 0.974, 0.974
07/09/2020, 0.9875, N/A, 0.9875, 0.9875, 0.9875
07/08/2020, 1, N/A, 1, 1, 1
07/07/2020, 1.003, N/A, 1.003, 1.003, 1.003
07/06/2020, 0.9815, N/A, 0.9815, 0.9815, 0.9815
07/02/2020, 1.032, N/A, 1.032, 1.032, 1.032
07/01/2020, 1.04, N/A, 1.04, 1.04, 1.04
06/30/2020, 1.01, N/A, 1.01, 1.01, 1.01
06/29/2020, 1.001, N/A, 1.001, 1.001, 1.001
06/26/2020, 0.9665, N/A, 0.9665, 0.9665, 0.9665
06/25/2020, 0.958, N/A, 0.958, 0.958, 0.958
06/24/2020, 0.978, N/A, 0.978, 0.978, 0.978
06/23/2020, 0.982, N/A, 0.982, 0.982, 0.982
06/22/2020, 0.98, N/A, 0.98, 0.98, 0.98
06/19/2020, 0.9375, N/A, 0.9375, 0.9375, 0.9375
06/18/2020, 0.946, N/A, 0.946, 0.946, 0.946
06/17/2020, 0.9625, N/A, 0.9625, 0.9625, 0.9625
06/16/2020, 0.9365, N/A, 0.9365, 0.9365, 0.9365
06/15/2020, 0.94, N/A, 0.94, 0.94, 0.94
06/12/2020, 0.952, N/A, 0.952, 0.952, 0.952
06/11/2020, 0.96, N/A, 0.96, 0.96, 0.96
06/10/2020, 0.9675, N/A, 0.9675, 0.9675, 0.9675
06/09/2020, 0.978, N/A, 0.978, 0.978, 0.978
06/05/2020, 0.989, N/A, 0.989, 0.989, 0.989
06/04/2020, 0.9815, N/A, 0.9815, 0.9815, 0.9815
06/03/2020, 0.991, N/A, 0.991, 0.991, 0.991
06/02/2020, 0.982, N/A, 0.982, 0.982, 0.982
06/01/2020, 0.983, N/A, 0.983, 0.983, 0.983
05/29/2020, 0.963, N/A, 0.963, 0.963, 0.963
05/28/2020, 0.991, N/A, 0.991, 0.991, 0.991
05/27/2020, 1.025, N/A, 1.025, 1.025, 1.025
05/26/2020, 1.051, N/A, 1.051, 1.051, 1.051
05/22/2020, 1.036, N/A, 1.036, 1.036, 1.036
05/21/2020, 1.0475, N/A, 1.0475, 1.0475, 1.0475
05/20/2020, 1.0565, N/A, 1.0565, 1.0565, 1.0565
05/19/2020, 1.0705, N/A, 1.0705, 1.0705, 1.0705
05/18/2020, 1.0775, N/A, 1.0775, 1.0775, 1.0775
05/15/2020, 1.0685, N/A, 1.0685, 1.0685, 1.0685
05/14/2020, 1.067, N/A, 1.067, 1.067, 1.067
05/13/2020, 1.0505, N/A, 1.0505, 1.0505, 1.0505
05/12/2020, 1.0735, N/A, 1.0735, 1.0735, 1.0735
05/11/2020, 1.1075, N/A, 1.1075, 1.1075, 1.1075
05/08/2020, 1.1165, N/A, 1.1165, 1.1165, 1.1165
05/07/2020, 1.09, N/A, 1.09, 1.09, 1.09
05/06/2020, 1.106, N/A, 1.106, 1.106, 1.106
05/05/2020, 1.1065, N/A, 1.1065, 1.1065, 1.1065
05/04/2020, 1.072, N/A, 1.072, 1.072, 1.072
05/01/2020, 1.061, N/A, 1.061, 1.061, 1.061
04/30/2020, 1.063, N/A, 1.063, 1.063, 1.063
04/29/2020, 1.053, N/A, 1.053, 1.053, 1.053
04/28/2020, 1.076, N/A, 1.076, 1.076, 1.076
04/27/2020, 1.062, N/A, 1.062, 1.062, 1.062
04/24/2020, 1.0675, N/A, 1.0675, 1.0675, 1.0675
04/23/2020, 1.124, N/A, 1.124, 1.124, 1.124
04/22/2020, 1.1205, N/A, 1.1205, 1.1205, 1.1205
04/21/2020, 1.0965, N/A, 1.0965, 1.0965, 1.0965
04/20/2020, 1.1365, N/A, 1.1365, 1.1365, 1.1365
04/17/2020, 1.1605, N/A, 1.1605, 1.1605, 1.1605
04/16/2020, 1.186, N/A, 1.186, 1.186, 1.186
04/15/2020, 1.202, N/A, 1.202, 1.202, 1.202
04/14/2020, 1.172, N/A, 1.172, 1.172, 1.172
04/13/2020, 1.1975, N/A, 1.1975, 1.1975, 1.1975
04/09/2020, 1.186, N/A, 1.186, 1.186, 1.186
04/08/2020, 1.198, N/A, 1.198, 1.198, 1.198
04/07/2020, 1.199, N/A, 1.199, 1.199, 1.199
04/06/2020, 1.1665, N/A, 1.1665, 1.1665, 1.1665
04/03/2020, 1.149, N/A, 1.149, 1.149, 1.149
04/02/2020, 1.1935, N/A, 1.1935, 1.1935, 1.1935
04/01/2020, 1.16, N/A, 1.16, 1.16, 1.16
03/31/2020, 1.1955, N/A, 1.1955, 1.1955, 1.1955
03/30/2020, 1.193, N/A, 1.193, 1.193, 1.193
03/27/2020, 1.1585, N/A, 1.1585, 1.1585, 1.1585
03/26/2020, 1.2465, N/A, 1.2465, 1.2465, 1.2465
03/25/2020, 1.2995, N/A, 1.2995, 1.2995, 1.2995
03/24/2020, 1.256, N/A, 1.256, 1.256, 1.256
03/23/2020, 1.2125, N/A, 1.2125, 1.2125, 1.2125
03/20/2020, 1.197, N/A, 1.197, 1.197, 1.197
03/19/2020, 1.127, N/A, 1.127, 1.127, 1.127
03/18/2020, 1.083, N/A, 1.083, 1.083, 1.083
03/17/2020, 1.026, N/A, 1.026, 1.026, 1.026
03/16/2020, 1.039, N/A, 1.039, 1.039, 1.039
03/13/2020, 1.0675, N/A, 1.0675, 1.0675, 1.0675
03/12/2020, 1.0885, N/A, 1.0885, 1.0885, 1.0885
03/11/2020, 1.1205, N/A, 1.1205, 1.1205, 1.1205
03/10/2020, 1.1435, N/A, 1.1435, 1.1435, 1.1435
03/09/2020, 1.092, N/A, 1.092, 1.092, 1.092
03/06/2020, 1.074, N/A, 1.074, 1.074, 1.074
03/05/2020, 1.1135, N/A, 1.1135, 1.1135, 1.1135
03/04/2020, 1.184, N/A, 1.184, 1.184, 1.184
03/03/2020, 1.222, N/A, 1.222, 1.222, 1.222
03/02/2020, 1.156, N/A, 1.156, 1.156, 1.156
02/28/2020, 1.1135, N/A, 1.1135, 1.1135, 1.1135
02/27/2020, 1.0975, N/A, 1.0975, 1.0975, 1.0975
02/26/2020, 1.1065, N/A, 1.1065, 1.1065, 1.1065
02/25/2020, 1.085, N/A, 1.085, 1.085, 1.085
02/24/2020, 1.069, N/A, 1.069, 1.069, 1.069
02/21/2020, 1.1025, N/A, 1.1025, 1.1025, 1.1025
02/20/2020, 1.0495, N/A, 1.0495, 1.0495, 1.0495
02/19/2020, 1.068, N/A, 1.068, 1.068, 1.068
02/18/2020, 1.0655, N/A, 1.0655, 1.0655, 1.0655
02/14/2020, 1.091, N/A, 1.091, 1.091, 1.091
02/13/2020, 1.0445, N/A, 1.0445, 1.0445, 1.0445
02/12/2020, 1.0065, N/A, 1.0065, 1.0065, 1.0065
02/11/2020, 1.005, N/A, 1.005, 1.005, 1.005
02/10/2020, 1.003, N/A, 1.003, 1.003, 1.003
02/07/2020, 0.9835, N/A, 0.9835, 0.9835, 0.9835
02/06/2020, 0.9815, N/A, 0.9815, 0.9815, 0.9815
02/05/2020, 0.9775, N/A, 0.9775, 0.9775, 0.9775
02/04/2020, 0.9815, N/A, 0.9815, 0.9815, 0.9815
02/03/2020, 0.979, N/A, 0.979, 0.979, 0.979
01/31/2020, 1.0265, N/A, 1.0265, 1.0265, 1.0265
01/30/2020, 1.015, N/A, 1.015, 1.015, 1.015
01/29/2020, 1.0205, N/A, 1.0205, 1.0205, 1.0205
01/28/2020, 1.0505, N/A, 1.0505, 1.0505, 1.0505
01/27/2020, 1.066, N/A, 1.066, 1.066, 1.066
01/24/2020, 1.1015, N/A, 1.1015, 1.1015, 1.1015
01/23/2020, 1.126, N/A, 1.126, 1.126, 1.126
01/22/2020, 1.11, N/A, 1.11, 1.11, 1.11
